CO2%;Flow;RCO2;Qreb;Treb;Wpumps;Wcfg;Wc1;Wc2;Wc3;Wrefr1;Wrefr2;Wrecomp;Makeup;Habs;Dabs;Qwash;Tinwash;Toutwash;Qtoabs;Tintoabs;Touttoabs;Qstrip;Tinstrip;Toutstrip;Qlean;Tinlean;Toutlean;Qint2;Tinint2;Toutint2;Qint1;Tinint1;Toutint1;Qdcc;Tindcc;Toutdcc;Qdhx;Tindhx;Toutdhx;Qdry;Tindry;Toutdry;Qdum;Tindum;Toutdum;Qliq;COP;Qrcond;Tinrcond;Toutrcond;Qrint;Tinrint;Toutrint;Qpreliq;Tinpreliq;Toutpreliq
11;170;0,905021753;91379,436;121,152694;119,7875884;3711,98367;1778,89257;1657,96833;1495,47711;1828,94664;1465,13767;82,6565183;0,055287576;21;9,95492486;-24548,64689;331,9786406;303,15;-29296,29516;423,15;294,15;-18255,03714;367,1178948;303,15;-13164,12598;320,3348847;313,15;-1758,207723;367,4498242;293,15;-2466,535446;378,5917107;293,15;-7304,592677;293,15;283,15;-14990,12584;323,3871531;303,15;-19535,69038;325,717751;313,15;-6574,374847;459,7618564;423,15;-8447,154878;2,564340825;-10458,62606;376,9693477;303,6846362;-1115,815333;354,9594962;293,15;-1918,82765;358,8355209;293,15
11;150;0,898450409;79807,6941;121,156548;105,1086555;3275,27971;1558,21375;1452,29061;1309,96057;1602,04384;1283,36974;72,4077956;0,048584331;21;9,33457283;-24627,02705;332,0651949;303,15;-25849,67223;423,15;294,15;-15899,4297;367,0226742;303,15;-11303,08173;320,2189154;313,15;-1540,094694;367,4498101;293,15;-2160,553095;378,5916962;293,15;-6444,789296;293,15;283,15;-13225,64965;323,3871531;303,15;-15539,91063;324,7704788;313,15;-5800,918975;459,7618564;423,15;-7399,183838;2,564340824;-9161,107869;376,9693477;303,6846362;-977,3850401;354,9594962;293,15;-1680,863939;358,8381941;293,15
11;132;0,908967152;71406,1604;121,150135;93,3353395;2882,24615;1387,27898;1292,97559;1166,25625;1426,31679;1142,59783;64,4566654;0,042987991;21;8,7809846;-24478,19506;331,898042;303,15;-22747,71162;423,15;294,15;-14291,93924;367,1828853;303,15;-10400,55695;320,4106297;313,15;-1371,147703;367,449833;293,15;-1923,540625;378,5917209;293,15;-5671,649275;293,15;283,15;-11639,07011;323,3871531;303,15;-11478,02569;323,314946;313,15;-5104,808695;459,7618564;423,15;-6587,572648;2,56434083;-8156,232447;376,9693477;303,6846362;-870,1763663;354,9594962;293,15;-1496,395274;358,8354351;293,15
11;130;0,907003276;70096,5316;121,151526;91,7566265;2838,57575;1363,30826;1270,63431;1146,10693;1401,64633;1122,83475;63,3436965;0,042333103;21;8,71005223;-24514,53465;331,9386523;303,15;-22403,04926;423,15;294,15;-14015,77529;367,1482169;303,15;-10149,12587;320,369474;313,15;-1347,455501;367,4498253;293,15;-1890,304535;378,5917138;293,15;-5585,749663;293,15;283,15;-11462,79284;323,3871531;303,15;-11130,77942;323,1900468;313,15;-5027,463104;459,7618564;423,15;-6473,629901;2,564340827;-8015,157213;376,9693477;303,6846362;-855,1252589;354,9594962;293,15;-1470,765692;358,8465709;293,15
11;120;0,907689636;64775,6268;121,151113;84,7489582;2620,22377;1259,39067;1173,78078;1058,74428;1294,81749;1037,256;58,5152674;0,039092149;21;8,36986376;-24492,98764;331,9144377;303,15;-20679,73777;423,15;294,15;-12955,99386;367,1592304;303,15;-9395,484336;320,3817453;313,15;-1244,74641;367,4498287;293,15;-1746,216609;378,5917159;293,15;-5156,06395;293,15;283,15;-10581,01295;323,3871531;303,15;-9041,37409;322,2213272;313,15;-4640,735189;459,7618564;423,15;-5980,231283;2,564340836;-7404,268486;376,9693477;303,6846362;-789,9504466;354,9594962;293,15;-1359,278992;358,8766099;293,15
11;100;0,907717895;53980,3143;121,151086;70,7452892;2183,51981;1049,52466;978,180905;882,313516;1079,05251;864,410392;48,764485;0,032569706;21;7,6404764;-24394,35594;331,8045334;303,15;-17233,11481;423,15;294,15;-10796,19164;367,1579857;303,15;-7833,865372;320,3857015;313,15;-1037,320819;367,4498315;293,15;-1455,225367;378,5917167;293,15;-4296,665078;293,15;283,15;-8817,39457;323,3871531;303,15;-4964,46767;319,5763978;313,15;-3867,279321;459,7618564;423,15;-4983,701267;2,564340828;-6170,440651;376,9693477;303,6846362;-658,3151791;354,9594962;293,15;-1132,188015;358,8422023;293,15
11;80;0,896009639;42407,8776;121,157919;56,3529323;1746,81585;828,789476;772,450619;696,74617;852,093411;682,597365;38,5131867;0,025864005;21;6,81253823;-23879,20605;331,2280716;303,15;-13786,49184;423,15;294,15;-8441,176319;366,9920827;303,15;-5973,462533;320,1821026;313,15;-819,1523943;367,4498084;293,15;-1149,164202;378,5916917;293,15;-3437,381128;293,15;283,15;-7054,019402;323,3871531;303,15;-1554,774228;315,9459195;313,15;-3093,823458;459,7618564;423,15;-3935,470216;2,564340828;-4872,600544;376,9693477;303,6846362;-519,85054;354,9594962;293,15;-894,069454;358,8418807;293,15
11;60;0,907903242;32389,7391;121,150916;42,9890811;1310,11189;629,843848;587,028771;529,498383;647,559492;518,748762;29,2645984;0,019525769;21;5,91788745;-20761,65539;327,7043508;303,15;-10339,86887;423,15;294,15;-6476,805139;367,1522172;303,15;-4701,56331;320,3876009;313,15;-622,5198165;367,4498221;293,15;-873,3145128;378,5917145;293,15;-2578,048355;293,15;283,15;-5290,541057;323,3871531;303,15;-189,1545824;313,6454623;313,15;-2320,367594;459,7618564;423,15;-2990,811872;2,564340826;-3702,996264;376,9693477;303,6846362;-395,0671905;354,9594962;293,15;-679,457111;358,8431317;293,15
11;50;0,905900769;26912,7993;121,152236;35,9684152;1091,7599;523,712002;488,111518;440,274552;538,439248;431,334414;24,333673;0,0162758;21;5,40021144;-18817,07273;325,4843258;303,15;-8616,557424;423,15;294,15;-5378,469868;367,1306966;303,15;-3885,599785;320,3500166;313,15;-517,6222253;367,4498271;293,15;-726,1565551;378,5917127;293,15;-2148,348074;293,15;283,15;-4408,730046;323,3871531;303,15;-63,80935389;313,352586;313,15;-1933,639658;459,7618564;423,15;-2486,830193;2,564340826;-3079,004399;376,9693477;303,6846362;-328,4944222;354,9594962;293,15;-564,9629217;358,8430634;293,15
